codes,boardtype
002823.SZ,中小板
002824.SZ,中小板
002825.SZ,中小板
002826.SZ,中小板
002827.SZ,中小板
002828.SZ,中小板
002829.SZ,中小板
002830.SZ,中小板
002831.SZ,中小板
002832.SZ,中小板
002833.SZ,中小板
002835.SZ,中小板
002836.SZ,中小板
002837.SZ,中小板
002838.SZ,中小板
002839.SZ,中小板
002840.SZ,中小板
002841.SZ,中小板
002842.SZ,中小板
002843.SZ,中小板
002845.SZ,中小板
002846.SZ,中小板
002847.SZ,中小板
002848.SZ,中小板
002849.SZ,中小板
002850.SZ,中小板
002851.SZ,中小板
002852.SZ,中小板
002853.SZ,中小板
002855.SZ,中小板
002856.SZ,中小板
002857.SZ,中小板
002858.SZ,中小板
002859.SZ,中小板
002860.SZ,中小板
002861.SZ,中小板
002862.SZ,中小板
002863.SZ,中小板
002864.SZ,中小板
002865.SZ,中小板
002866.SZ,中小板
002867.SZ,中小板
002868.SZ,中小板
002869.SZ,中小板
002870.SZ,中小板
002871.SZ,中小板
002872.SZ,中小板
002873.SZ,中小板
002875.SZ,中小板
