,0
1317,600025.SH
1318,000969.SZ
1319,603990.SH
1320,600027.SH
1321,600673.SH
1322,603199.SH
1323,002727.SZ
1324,600748.SH
1325,002509.SZ
1326,603278.SH
1327,300743.SZ
1328,002093.SZ
1329,600745.SH
1330,600323.SH
1331,300179.SZ
1332,603679.SH
1333,300050.SZ
1334,300572.SZ
1335,300665.SZ
1336,603298.SH
1337,002864.SZ
1338,300111.SZ
1339,002314.SZ
1340,600467.SH
1341,002582.SZ
1342,000428.SZ
1343,002349.SZ
1344,300098.SZ
1345,603306.SH
1346,000620.SZ
1347,300636.SZ
1348,603985.SH
1349,603855.SH
1350,600261.SH
1351,002307.SZ
1352,600503.SH
1353,300706.SZ
1354,600872.SH
1355,603111.SH
1356,601225.SH
1357,002931.SZ
1358,000419.SZ
1359,002599.SZ
1360,000960.SZ
1361,002179.SZ
1362,002337.SZ
1363,300312.SZ
1364,002818.SZ
1365,300035.SZ
1366,000029.SZ
1367,300336.SZ
1368,601200.SH
1369,600395.SH
1370,300129.SZ
1371,600328.SH
1372,300029.SZ
1373,002812.SZ
1374,300357.SZ
1375,002590.SZ
1376,603887.SH
1377,600398.SH
1378,603311.SH
1379,002465.SZ
1380,002749.SZ
1381,002400.SZ
1382,601020.SH
1383,002298.SZ
1384,000878.SZ
1385,000936.SZ
1386,603108.SH
1387,002119.SZ
1388,300048.SZ
1389,300434.SZ
1390,300355.SZ
1391,600361.SH
1392,603315.SH
1393,300062.SZ
1394,300121.SZ
1395,300420.SZ
1396,002469.SZ
1397,000509.SZ
1398,002676.SZ
1399,000411.SZ
1400,000839.SZ
1401,300428.SZ
1402,300412.SZ
1403,600137.SH
1404,600869.SH
1405,002270.SZ
1406,002771.SZ
1407,603320.SH
1408,002080.SZ
1409,600958.SH
1410,600821.SH
1411,002377.SZ
1412,600070.SH
1413,600606.SH
1414,000537.SZ
1415,000158.SZ
1416,600199.SH
1417,600184.SH
1418,002736.SZ
1419,002353.SZ
1420,002009.SZ
1421,300341.SZ
1422,002052.SZ
1423,600483.SH
1424,600502.SH
1425,603396.SH
1426,601969.SH
1427,601168.SH
1428,300571.SZ
1429,603086.SH
1430,603297.SH
1431,300089.SZ
1432,600812.SH
1433,600113.SH
1434,600971.SH
1435,600482.SH
1436,002501.SZ
1437,603103.SH
1438,002928.SZ
1439,002318.SZ
1440,600536.SH
1441,300016.SZ
1442,600064.SH
1443,000030.SZ
1444,300079.SZ
1445,300756.SZ
1446,002094.SZ
1447,600897.SH
1448,300417.SZ
1449,002563.SZ
1450,002361.SZ
1451,300529.SZ
1452,600965.SH
1453,300701.SZ
1454,600410.SH
1455,300604.SZ
1456,600969.SH
1457,300608.SZ
1458,300481.SZ
1459,603626.SH
1460,002516.SZ
1461,300695.SZ
1462,300277.SZ
1463,002725.SZ
1464,603658.SH
1465,600089.SH
1466,002824.SZ
1467,600310.SH
1468,600827.SH
1469,600685.SH
1470,603919.SH
1471,002915.SZ
1472,603517.SH
1473,603683.SH
1474,600048.SH
1475,002267.SZ
1476,600345.SH
1477,603799.SH
1478,300287.SZ
1479,002086.SZ
1480,300667.SZ
1481,600279.SH
1482,300661.SZ
1483,300595.SZ
1484,002205.SZ
1485,000166.SZ
1486,603609.SH
1487,601233.SH
1488,000753.SZ
1489,300192.SZ
1490,000885.SZ
1491,603580.SH
1492,603079.SH
1493,300018.SZ
1494,600195.SH
1495,002292.SZ
1496,600593.SH
1497,603978.SH
1498,600406.SH
1499,002669.SZ
1500,002345.SZ
1501,600862.SH
1502,600703.SH
1503,002039.SZ
1504,300526.SZ
1505,300218.SZ
1506,002662.SZ
1507,002564.SZ
1508,601231.SH
1509,300664.SZ
1510,002387.SZ
1511,603535.SH
1512,300324.SZ
1513,002451.SZ
1514,603899.SH
1515,002630.SZ
1516,300156.SZ
1517,000918.SZ
1518,603861.SH
1519,600533.SH
1520,600257.SH
1521,002446.SZ
1522,603178.SH
1523,603688.SH
1524,002715.SZ
1525,600460.SH
1526,600959.SH
1527,002656.SZ
1528,300198.SZ
1529,002082.SZ
1530,300278.SZ
1531,002098.SZ
1532,603519.SH
1533,600100.SH
1534,000156.SZ
1535,002444.SZ
1536,300628.SZ
1537,002747.SZ
1538,300353.SZ
1539,002589.SZ
1540,002485.SZ
1541,600856.SH
1542,002908.SZ
1543,300097.SZ
1544,603301.SH
1545,300303.SZ
1546,300394.SZ
1547,300306.SZ
1548,603711.SH
1549,600168.SH
1550,002629.SZ
1551,603912.SH
1552,300637.SZ
1553,601198.SH
1554,300296.SZ
1555,002847.SZ
1556,002250.SZ
1557,601988.SH
1558,603214.SH
1559,002683.SZ
