WindCodes,IPO_DATE,MKT
002217.SZ,2008/2/20,中小板
002218.SZ,2008/2/28,中小板
002219.SZ,2008/3/6,中小板
002221.SZ,2008/3/6,中小板
002222.SZ,2008/3/19,中小板
002223.SZ,2008/4/18,中小板
002224.SZ,2008/4/25,中小板
002225.SZ,2008/4/25,中小板
002226.SZ,2008/5/6,中小板
002227.SZ,2008/5/6,中小板
002228.SZ,2008/5/8,中小板
002229.SZ,2008/5/8,中小板
002230.SZ,2008/5/12,中小板
002231.SZ,2008/5/12,中小板
002232.SZ,2008/5/9,中小板
002233.SZ,2008/5/16,中小板
002234.SZ,2008/5/16,中小板
002235.SZ,2008/5/16,中小板
002236.SZ,2008/5/20,中小板
002237.SZ,2008/5/20,中小板
002238.SZ,2008/5/26,中小板
002239.SZ,2008/5/22,中小板
002240.SZ,2008/5/23,中小板
002241.SZ,2008/5/22,中小板
002242.SZ,2008/5/28,中小板
002243.SZ,2008/5/28,中小板
002244.SZ,2008/5/29,中小板
002245.SZ,2008/6/5,中小板
002246.SZ,2008/6/5,中小板
002247.SZ,2008/6/12,中小板
002248.SZ,2008/6/12,中小板
002249.SZ,2008/6/19,中小板
002250.SZ,2008/6/19,中小板
002251.SZ,2008/6/19,中小板
002252.SZ,2008/6/23,中小板
002253.SZ,2008/6/23,中小板
002254.SZ,2008/6/25,中小板
002255.SZ,2008/6/25,中小板
002256.SZ,2008/6/25,中小板
002258.SZ,2008/7/8,中小板
002259.SZ,2008/7/16,中小板
002260.SZ,2008/7/16,中小板
002261.SZ,2008/7/23,中小板
002262.SZ,2008/7/23,中小板
002263.SZ,2008/7/28,中小板
002264.SZ,2008/7/31,中小板
002265.SZ,2008/8/6,中小板
002266.SZ,2008/8/6,中小板
002267.SZ,2008/8/13,中小板
002268.SZ,2008/8/11,中小板
002269.SZ,2008/8/28,中小板
002270.SZ,2008/9/5,中小板
002271.SZ,2008/9/10,中小板
002272.SZ,2008/9/19,中小板
002273.SZ,2008/9/19,中小板
002274.SZ,2008/9/25,中小板
002275.SZ,2009/7/10,中小板
002276.SZ,2009/7/10,中小板
002277.SZ,2009/7/17,中小板
002278.SZ,2009/8/11,中小板
002279.SZ,2009/8/11,中小板
002280.SZ,2009/8/21,中小板
002281.SZ,2009/8/21,中小板
002282.SZ,2009/8/21,中小板
002283.SZ,2009/8/21,中小板
002284.SZ,2009/8/28,中小板
002285.SZ,2009/8/28,中小板
002286.SZ,2009/8/28,中小板
002287.SZ,2009/8/28,中小板
002288.SZ,2009/9/3,中小板
002289.SZ,2009/9/3,中小板
002290.SZ,2009/9/3,中小板
002291.SZ,2009/9/3,中小板
002292.SZ,2009/9/10,中小板
002293.SZ,2009/9/10,中小板
002294.SZ,2009/9/10,中小板
002295.SZ,2009/9/29,中小板
